====================================================================================================
  TEMPORAL CV — RESULTS SUMMARY
====================================================================================================
  CV strategy  : Expanding-window TimeSeriesSplit  (k=5)
  Primary n    : 100 features per text field
  Models       : ['linear', 'ridge', 'lasso', 'randomforest', 'xgboost', 'mlp']
  Encodings    : ['only_structured', 'label', 'count', 'tfidf', 'clinicalbert', 'sentencebert']

----------------------------------------------------------------------------------------------------
  PER-FOLD RESULTS  (n=100, all models)
----------------------------------------------------------------------------------------------------
  Model          Encoding              Fold       MAE    SMAPE       R²     RMSE
  xgboost        TF-IDF                   4    30.882   24.794   0.8017   47.338
  xgboost        ClinicalBERT             0    28.863   23.231   0.8361   46.023
  xgboost        ClinicalBERT             1    27.856   23.289   0.8425   44.116
  xgboost        ClinicalBERT             2    26.941   22.507   0.8516   40.756
  xgboost        ClinicalBERT             3    28.025   22.624   0.8225   44.575
  xgboost        ClinicalBERT             4    28.412   22.647   0.8255   44.409
  xgboost        Sentence-BERT            0    28.485   22.955   0.8392   45.595
  xgboost        Sentence-BERT            1    27.461   23.008   0.8464   43.569
  xgboost        Sentence-BERT            2    27.281   22.905   0.8490   41.113
  xgboost        Sentence-BERT            3    27.797   22.467   0.8245   44.323
  xgboost        Sentence-BERT            4    28.454   22.714   0.8256   44.402
  mlp            Structured only          0    37.627   31.683   0.7617   55.503
  mlp            Structured only          1    35.214   29.934   0.7788   52.289
  mlp            Structured only          2    33.972   28.662   0.7714   50.591
  mlp            Structured only          3    36.356   30.398   0.7373   54.228
  mlp            Structured only          4    36.705   30.290   0.7484   53.328
  mlp            Label                    0    32.125   26.123   0.8038   50.360
  mlp            Label                    1    30.134   25.289   0.8206   47.095
  mlp            Label                    2    29.803   24.955   0.8119   45.884
  mlp            Label                    3    31.524   25.771   0.7848   49.084
  mlp            Label                    4    31.214   24.958   0.7941   48.246
  mlp            Count                    0    31.717   26.261   0.8128   49.195
  mlp            Count                    1    29.359   24.665   0.8299   45.860
  mlp            Count                    2    28.433   24.184   0.8303   43.586
  mlp            Count                    3    30.352   25.270   0.7990   47.439
  mlp            Count                    4    29.990   24.275   0.8123   46.056
  mlp            TF-IDF                   0    31.937   26.447   0.8102   49.529
  mlp            TF-IDF                   1    29.359   24.687   0.8298   45.863
  mlp            TF-IDF                   2    29.356   25.057   0.8253   44.219
  mlp            TF-IDF                   3    30.395   24.971   0.7979   47.571
  mlp            TF-IDF                   4    31.086   25.158   0.8032   47.160
